520 0.035  0.0064  0.083   0.12 0.030  0.0036  0.089  5.78 0.043  0.0130  0.081  0.37 
521 0.031  0.0033  0.096   5.00 0.027  0.0044  0.096  5.02 0.035  0.0014  0.088  4.93 
522 0.028  0.0021  0.099   3.97 0.025  0.0012  0.124  2.71 0.031  0.0037  0.090  4.40 
523 0.027  0.0025  0.090   5.04 0.025  0.0017  0.104  4.17 0.030  0.0041  0.085  5.43 
524 0.029  0.0016  0.102   4.79 0.026  0.0020  0.093  5.05 0.032  0.0019  0.168  3.43 
525 0.030  0.0024  0.079   0.38 0.026  0.0023  0.070  0.24 0.034  0.0036  0.093  0.30 
526 0.031  0.0039  0.093   5.76 0.028  0.0042  0.083  6.27 0.035  0.0038  0.112  4.72 
527 0.033  0.0020  0.480   0.40 0.030  0.0023  0.060  5.97 0.036  0.0023  0.470  0.09 
528 0.038  0.0034  0.106   2.99 0.033  0.0030  0.125  2.34 0.043  0.0054  0.076  3.97 
529 0.038  0.0039  0.186   4.42 0.033  0.0034  0.183  4.42 0.044  0.0048  0.189  4.40 
530 0.038  0.0092  0.097   3.09 0.035  0.0073  0.097  3.24 0.043  0.0119  0.097  3.00 
531 0.035  0.0041  0.078   4.15 0.032  0.0045  0.081  4.21 0.039  0.0040  0.086  3.38 
532 0.035  0.0055  0.086   3.39 0.031  0.0032  0.082  3.72 0.041  0.0094  0.089  3.21 
533 0.034  0.0053  0.085   3.52 0.031  0.0045  0.087  3.50 0.038  0.0065  0.083  3.54 
534 0.036  0.0036  0.088   3.45 0.032  0.0031  0.096  3.16 0.041  0.0044  0.078  3.79 
535 0.034  0.0029  0.083   3.62 0.030  0.0029  0.091  3.19 0.030  0.0123  0.028  0.26 
536 0.033  0.0028  0.074   3.70 0.030  0.0028  0.083  3.31 0.038  0.0031  0.059  4.38 
537 0.032  0.0026  0.080   3.72 0.029  0.0026  0.103  2.63 0.034  0.0054  0.041  5.61 
538 0.034  0.0029  0.074   3.95 0.030  0.0029  0.083  3.67 0.038  0.0031  0.063  4.31 
539 0.033  0.0036  0.073   4.03 0.030  0.0031  0.079  3.74 0.038  0.0046  0.064  4.56 
540 0.034  0.0025  0.080   3.55 0.031  0.0022  0.092  3.21 0.038  0.0032  0.068  3.75 
541 0.034  0.0016  0.183   3.69 0.031  0.0024  0.175  4.45 0.039  0.0018  0.184  2.35 
542 0.035  0.0018  0.084   3.26 0.032  0.0015  0.066  3.98 0.040  0.0026  0.099  2.77 
543 0.035  0.0016  0.129   5.90 0.031  0.0015  0.127  5.44 0.040  0.0027  0.107  1.23 
544 0.035  0.0019  0.132   0.05 0.031  0.0022  0.141  5.94 0.040  0.0028  0.087  2.72 
545 0.033  0.0012  0.119   0.01 0.031  0.0033  0.362  0.76 0.053  0.0204  0.029  3.39 
546 0.018  0.0150  0.017   0.70 0.030  0.0031  0.205  2.35 0.037  0.0027  0.054  3.26 
547 0.033  0.0020  0.113   1.98 0.031  0.0020  0.285  2.05 0.036  0.0036  0.270  0.01 
548 0.033  0.0018  0.075   2.57 0.031  0.0026  0.134  5.74 0.037  0.0036  0.047  4.17 
549 0.033  0.0022  0.089   2.48 0.030  0.0016  0.439  3.10 0.037  0.0050  0.069  2.91 
550 0.033  0.0029  0.083   3.12 0.031  0.0018  0.081  3.33 0.036  0.0043  0.084  3.07 
551 0.032  0.0034  0.082   2.96 0.028  0.0026  0.079  2.81 0.038  0.0050  0.084  3.11 
552 0.031  0.0043  0.085   3.20 0.028  0.0038  0.086  3.13 0.036  0.0048  0.082  3.35 
553 0.032  0.0038  0.091   2.88 0.029  0.0030  0.106  2.35 0.036  0.0052  0.079  3.27 
554 0.033  0.0036  0.078   3.72 0.030  0.0036  0.085  3.72 0.036  0.0042  0.070  3.72 
555 0.028  0.0046  0.048   5.68 0.025  0.0082  0.049  5.64 0.033  0.0021  0.354  6.02 
556 0.032  0.0038  0.091   3.27 0.029  0.0053  0.123  2.64 0.036  0.0045  0.093  2.42 
557 0.030  0.0030  0.100   2.54 0.027  0.0045  0.149  1.17 0.035  0.0021  0.074  3.27 
558 0.032  0.0018  0.189   5.39 0.029  0.0033  0.182  6.03 0.036  0.0038  0.230  2.09 
559 0.144  0.0967  0.049   2.12 0.769  0.7400  0.014  4.03 0.254  0.1342  0.074  6.24 
560 0.037  0.0029  0.053   0.76 0.033  0.0024  0.263  3.99 0.043  0.0050  0.048  1.61 
561 0.037  0.0034  0.090   5.18 0.036  0.0062  0.116  3.61 0.040  0.0048  0.079  0.30 
562 0.036  0.0040  0.088   4.94 0.033  0.0041  0.094  4.66 0.040  0.0040  0.081  5.35 
563 0.037  0.0038  0.077   5.57 0.036  0.0059  0.084  5.06 0.040  0.0023  0.074  0.22 
564 0.038  0.0051  0.094   4.97 0.036  0.0082  0.094  5.09 0.041  0.0029  0.203  3.53 
565 0.036  0.0023  0.062   0.64 0.034  0.0054  0.092  5.12 0.039  0.0039  0.128  0.22 
566 0.036  0.0059  0.184   6.01 0.033  0.0076  0.075  1.01 0.044  0.0129  0.213  5.27 
567 0.028  0.0015  0.294   0.74 0.032  0.0075  0.094  5.38 0.032  0.0049  0.436  4.70 
568 0.045  0.0107  0.081   6.00 0.040  0.0095  0.082  5.96 0.051  0.0122  0.081  6.04 
569 0.043  0.0073  0.074   0.40 0.038  0.0069  0.068  0.72 0.051  0.0081  0.084  6.23 
570 0.044  0.0088  0.083   6.23 0.039  0.0076  0.080  0.17 0.051  0.0106  0.087  5.97 
571 0.044  0.0081  0.077   0.21 0.040  0.0075  0.079  0.05 0.050  0.0089  0.075  0.45 
572 0.044  0.0111  0.083   0.10 0.039  0.0092  0.085  6.23 0.052  0.0139  0.079  0.31 
573 0.046  0.0102  0.083   0.08 0.042  0.0115  0.076  0.39 0.051  0.0093  0.096  5.68 
574 0.043  0.0081  0.079   0.15 0.039  0.0082  0.075  0.32 0.048  0.0081  0.086  6.14 
