624 0.037  0.0029  0.070   2.97 0.033  0.0043  0.051  3.22 0.045  0.0052  0.258  3.22 
625 0.036  0.0044  0.085   3.14 0.031  0.0023  0.080  3.41 0.043  0.0078  0.087  3.04 
626 0.038  0.0016  0.284   2.04 0.033  0.0018  0.253  2.90 0.044  0.0036  0.077  3.82 
627 0.036  0.0040  0.080   3.47 0.033  0.0030  0.204  2.22 0.041  0.0067  0.079  3.79 
628 0.034  0.0018  0.070   4.23 0.031  0.0024  0.146  4.88 0.040  0.0060  0.076  4.26 
629 0.034  0.0030  0.077   3.43 0.030  0.0043  0.079  2.78 0.040  0.0044  0.271  2.29 
630 0.036  0.0034  0.264   3.34 0.031  0.0044  0.259  3.39 0.042  0.0027  0.092  4.13 
631 0.033  0.0032  0.074   3.12 0.028  0.0034  0.057  3.71 0.042  0.0056  0.102  2.32 
632 0.032  0.0032  0.140   5.47 0.027  0.0027  0.148  5.36 0.040  0.0042  0.140  5.08 
633 0.034  0.0066  0.133   5.51 0.030  0.0063  0.103  6.04 0.042  0.0066  0.188  4.60 
634 0.033  0.0073  0.135   5.55 0.029  0.0068  0.128  5.74 0.038  0.0077  0.144  5.22 
635 0.031  0.0053  0.072   0.87 0.025  0.0048  0.079  0.74 0.040  0.0061  0.062  0.74 
636 0.010  0.0008  0.173   4.56 0.009  0.0011  0.290  2.48 0.012  0.0021  0.250  5.78 
637 0.017  0.0034  0.113   5.21 0.015  0.0036  0.120  5.31 0.021  0.0049  0.188  3.58 
638 0.038  0.0049  0.087   5.15 0.035  0.0061  0.121  3.47 0.045  0.0065  0.183  4.14 
639 0.042  0.0110  0.079   6.21 0.036  0.0089  0.082  5.91 0.050  0.0148  0.076  0.25 
640 0.043  0.0095  0.071   6.17 0.037  0.0084  0.073  6.18 0.050  0.0109  0.067  6.21 
641 0.053  0.0167  0.086   6.04 0.045  0.0148  0.084  6.12 0.063  0.0191  0.088  5.93 
642 0.043  0.0045  0.069   0.30 0.038  0.0027  0.065  0.30 0.049  0.0076  0.074  0.18 
643 0.043  0.0066  0.080   0.41 0.039  0.0060  0.072  0.88 0.049  0.0079  0.085  0.05 
644 0.039  0.0020  0.080   5.79 0.034  0.0018  0.071  6.23 0.046  0.0023  0.087  5.46 
645 0.038  0.0080  0.080   0.29 0.034  0.0071  0.075  0.59 0.044  0.0095  0.086  6.24 
646 0.040  0.0074  0.082   0.12 0.035  0.0071  0.082  0.20 0.046  0.0076  0.082  0.01 
647 0.042  0.0053  0.083   0.30 0.037  0.0042  0.077  0.69 0.048  0.0075  0.088  0.01 
648 0.040  0.0044  0.084   0.15 0.035  0.0042  0.088  6.24 0.046  0.0046  0.077  0.45 
649 0.041  0.0048  0.082   0.77 0.037  0.0060  0.069  1.47 0.047  0.0041  0.096  6.14 
650 0.041  0.0061  0.087   0.36 0.042  0.0085  0.049  2.32 0.045  0.0089  0.106  5.58 
651 0.041  0.0091  0.084   0.10 0.037  0.0064  0.078  0.62 0.047  0.0146  0.089  5.93 
652 0.043  0.0087  0.085   0.66 0.049  0.0143  0.045  2.51 0.046  0.0114  0.117  5.58 
653 0.044  0.0074  0.089   0.37 0.041  0.0073  0.062  1.73 0.052  0.0113  0.110  5.62 
654 0.043  0.0052  0.064   1.75 0.035  0.0043  0.188  0.10 0.052  0.0094  0.219  3.25 
655 0.038  0.0016  0.181   0.57 0.034  0.0036  0.072  6.16 0.042  0.0037  0.247  2.68 
656 0.041  0.0071  0.086   0.06 0.035  0.0043  0.092  6.26 0.051  0.0129  0.081  0.14 
657 0.046  0.0079  0.082   6.24 0.041  0.0077  0.082  6.17 0.053  0.0079  0.082  0.04 
658 0.046  0.0092  0.083   6.05 0.041  0.0085  0.082  6.11 0.052  0.0099  0.084  5.97 
659 0.043  0.0055  0.080   0.09 0.039  0.0046  0.076  0.25 0.050  0.0070  0.082  6.24 
660 0.042  0.0076  0.082   0.11 0.037  0.0071  0.081  0.07 0.048  0.0081  0.085  0.13 
661 0.039  0.0059  0.091   5.55 0.034  0.0059  0.105  4.71 0.046  0.0070  0.089  5.95 
662 0.038  0.0045  0.071   0.04 0.033  0.0036  0.072  6.02 0.044  0.0063  0.071  0.28 
663 0.043  0.0067  0.081   5.82 0.040  0.0073  0.074  6.12 0.046  0.0068  0.092  5.27 
664 0.040  0.0064  0.078   5.39 0.035  0.0065  0.056  6.27 0.046  0.0082  0.097  4.56 
665 0.030  0.0074  0.098   5.18 0.027  0.0093  0.097  5.21 0.036  0.0018  0.086  4.64 
666 0.042  0.0049  0.085   5.96 0.038  0.0063  0.091  5.83 0.047  0.0036  0.186  4.03 
667 0.043  0.0020  0.101   4.79 0.039  0.0034  0.099  4.99 0.048  0.0015  0.357  3.83 
668 0.043  0.0051  0.094   5.37 0.039  0.0048  0.101  5.28 0.048  0.0060  0.084  5.50 
669 0.040  0.0025  0.120   5.07 0.035  0.0027  0.175  1.68 0.046  0.0042  0.111  5.37 
670 0.053  0.0150  0.033   3.42 0.037  0.0040  0.199  6.12 0.048  0.0059  0.095  0.72 
671 0.042  0.0030  0.088   2.05 0.038  0.0026  0.500  1.59 0.047  0.0045  0.500  4.73 
672 0.045  0.0043  0.196   5.74 0.042  0.0067  0.075  0.30 0.050  0.0058  0.212  5.33 
673 0.045  0.0082  0.082   6.10 0.039  0.0080  0.081  6.09 0.053  0.0081  0.086  6.07 
674 0.046  0.0084  0.088   6.06 0.041  0.0083  0.078  0.29 0.054  0.0095  0.103  5.20 
675 0.044  0.0087  0.085   6.22 0.039  0.0085  0.082  6.27 0.052  0.0078  0.090  6.16 
676 0.046  0.0090  0.086   0.01 0.038  0.0120  0.086  0.23 0.064  0.0107  0.099  4.47 
677 0.045  0.0084  0.084   0.06 0.038  0.0088  0.087  6.15 0.057  0.0093  0.183  2.66 
678 0.047  0.0133  0.087   5.85 0.040  0.0097  0.086  5.84 0.058  0.0209  0.089  5.79 
679 0.046  0.0102  0.075   6.07 0.042  0.0129  0.076  6.04 0.052  0.0057  0.073  6.06 
680 0.046  0.0074  0.070   0.43 0.042  0.0091  0.081  5.91 0.065  0.0204  0.030  3.08 
681 0.043  0.0082  0.073   0.48 0.039  0.0097  0.074  0.52 0.048  0.0057  0.070  0.39 
682 0.039  0.0139  0.081   6.26 0.034  0.0133  0.083  6.09 0.047  0.0152  0.078  0.18 
683 0.000  0.0000  0.000   0.00 0.000  0.0000  0.000  0.00 0.000  0.0000  0.000  0.00 
684 0.028  0.0071  0.091   5.38 0.024  0.0065  0.103  4.70 0.035  0.0095  0.081  6.00 
685 0.040  0.0126  0.084   5.91 0.036  0.0128  0.088  5.58 0.046  0.0127  0.080  0.03 
686 0.038  0.0152  0.084   0.02 0.034  0.0151  0.081  0.23 0.046  0.0110  0.081  6.16 
